1247896427,5503801597234344555,3.0
120325361197921,7599372963471258745,2.0
27424519105702255,5503801597234344555,1.0
120325361197921,1348563563,2.0
74132769829477,85166842541421,3.0
7171428,5503801597234344555,4.0
1247896427,1348563563,3.0
323992381807,5503801597234344555,2.0
456901092723,5503801597234344555,1.0
323992381807,85166842541421,3.0
280991720293,7954518457631469163,5.0
120325361197921,5503801597234344555,4.0
27424519105702255,85080926807412,2.0
1247896427,85166842541421,1.0
5533549,7954518457631469163,1.0
319528792697,5503801597234344555,1.0
1398895201,7954518457631469163,1.0
1247896427,7954518457631469163,6.0
4353890,1348563563,1.0
7171428,85080926807412,1.0
280991720293,7599372963471258745,1.0
1247896427,7599372963471258745,1.0
1248815214,7954518457631469163,1.0
7163093307968218487,7599372963471258745,1.0
289581134433,7954518457631469163,1.0
21785089372219749,7954518457631469163,1.0
74132769829477,7954518457631469163,4.0
26471,5503801597234344555,1.0
4353890,85166842541421,3.0
27424519105702255,7954518457631469163,2.0
280991720293,5503801597234344555,3.0
7235707293259293807,1348563563,1.0
323992381807,1348563563,2.0
31653236531160438,7954518457631469163,1.0
482671488097,5503801597234344555,1.0
280991720293,85166842541421,7.0
107126708135276,85080926807412,1.0
4353890,5503801597234344555,6.0
107126708135276,85166842541421,3.0
7163093307968218487,7954518457631469163,2.0
74132769829477,85080926807412,1.0
107126708135276,7954518457631469163,2.0
1248815214,1348563563,2.0
323992381807,7599372963471258745,1.0
74132769829477,5503801597234344555,5.0
120325361197921,7954518457631469163,5.0
7163093307968218487,5503801597234344555,1.0
5533549,85166842541421,1.0
1248815214,85080926807412,1.0
107126708135276,5503801597234344555,3.0
120325361197921,358435746405,1.0
7630701,7954518457631469163,1.0
323992381807,7954518457631469163,4.0
74132769829477,1348563563,1.0
7171428,7954518457631469163,4.0
31653236531160438,85166842541421,1.0
5533549,5503801597234344555,2.0
4353890,7954518457631469163,1.0
27424519105702255,85166842541421,1.0
1248815214,5503801597234344555,1.0
23755440046437217,7954518457631469163,1.0
27424519105702255,1348563563,2.0
280991720293,1348563563,1.0
7171428,85166842541421,3.0
1247896427,85080926807412,1.0
1398895201,85166842541421,3.0
